label,text
FORM,"2a.

ouny's date 20/18

Mee Linn Me. Donahue (Loews) Mr. lndson  (Greenshoro)
Bes n Me. Dutry {hoews) Dr. Schultz {Greensboro}
Me. Goldbrenner Mr. Miele (Loews Mr, Tucker (Greensboro)
Dr. Jones (Greensboro)
PRODUCT EFL
MRD # 5546/4786

PROJECT ORIGINATED BY __William Doyle

STATES AND CITIES"" ECD 10 RECK(VE PRODUCT:
‘Alabana Louisiana x Oklahoma
Maske Maine Emme Sregon x
Arizona = Naryland x Pennsylvania = x
Arkansas Es Nnssachusetts Rhode Island “x
California ""x HiehS gan x South Carolina Dx
Colorado x Minnesota x South Dakota
Connecticut x Mississippi = x ‘onnessee
Delaware x Missours x ‘texas
D.C. x Montana % Utah
Florida Nebraska x Vermont x
Georgia Nevada Virginia x
Hawai New Hampshire = Washington
Taaho Now Jersey ra West Virginia TX
Tilinois New Mexico x Wisconsin x
Indiana liew York x Wyoming x
Lowa North Carolina ae “chicago, 11. _¥
Kansas x North Dakota ar nave, Wey. x
Kentucky x Ohio ey
ESUINATED TUBE PROUUGY QUAWITITES (PER MARKET)
PRODUCT JUANTITY (its. 5 20's etc.)
Code # Code
Th 319) Varies by market, All are 20's
753 9al see at¥ached list.
Bor, 63 ‘Approx. 20% of the
ube total # by state
will receive product.
ESUINATED TOTALS BY PRODUCT (ALL MARKETS COMBE WED)
PRODUCT. (its, S's, 20's etc.
Code ATH
Code #7: All are 20's
Code #821
Code #6
Code #519
Code #934
Code #639

Special Comments:

veeroTie"
FORM,"Aj

JOB NO. _7859,

BRAND _BKOOL,

DESCRIPTION CMS Amerada Hess Dispenser Sign

Date _ 121807

SO. INCHESIFEET 261 59°

‘TRIM SIZE 14 12°18""

WARNING 34.
ie Kets

TaN _NA
(OTT APPROVALS

‘Signature Department Date

_AE- tele
On Re (ets GP

[BAW APPROVALS.

Signatwe Deparment
REVISIONS DATE COMPLETE REVISIONS APPROVED.

210350

PRODUCED"
FORM,"— p00. 1594 REV.773 | oare
D rvncnasina PURCHASE REQUISITION trains | On""
Ti staTionanY PLEASE INCLUDE ONLY ONE TYPE OF MATERIAL ON THIE REQUISITION

VEROOR FOR PORCHASING DEPARTMENT USE ONLY ORDER RO.
Microbiological Associates , 5221-River Rd., Bethesda, MD 20816

‘rev ov Recommenaed Suppor

renus 15 Net ron N/A via___ N/A
“SHIP'TO (OEP. BRANCH ‘DATE WANTED
Lorillard Research Center Attn: Dr. Harry Minnemeyer As required

Ps 0. Box 21688, Greensboro, N.C. 27420

DESCRIPTION

fixed price of |$19,750. Tests will be performed in accordance with the

December 21, Yai formal agreenent between Microbiological Associates| and
Lorillard. Al] work is. tobe coordinated with our Dr. Harry Minneneypr

[ (19) 373-6603] [
|

FOLLOW UP DATE REQUISITION NO. tSSUED BY
00922237"
FORM,"SEPT. 27, 1991

BROWN & WILLIAMSON

KOOL CIGARETTES

(OF PROMOTION: SEE ATTACHMENTS

WIDESPREAD?

Tressere

ALH.TISCH G.R.TELFORD «=—-LH. KERSH
RH. ORCUTT R.G. RYAN J. R. SLATER
M. A. PETERSON N.P.RUFFALO 8, T. JONES.

M. L ORLOWSKY T. LACHEY RS. GOLDBRENNER
N, SIMEONIDIS

L. GORDON P. J. MCCANN
J.P, MASTANDREA A.J. GIACOIO 8. F. SMITH

J.J. TATULL"
FORM,"MICHELLE LEPRE
VM. LOSITO ;
co: S.A. RAPISARLDI
FS ras MoGLYND -
K.P. AUGUSTYN
~ BRAND(S) APPLICABLE TRUE
~ MEDIA TYPE SALES FORCE APPLIED ~ IRC
= MEDIA NAME
~ ISSUE FREQUENCY/YEAR
~ SPACEICOLOR

COUPON ISSUE DATE

COUPON EXPIRATION DATE

CIRCULATION

~ GEOGRAPHICAL AREA(S)

COUPON VALUE

PACK ANDIOR CARTON

~ TADVERTISING CREATIVE TITLE

‘SIGNATURE OF INITIATOR

DATE INITIATED

IALYTICAL Ri

2 TRUE CORE AREAS

JANUARY 8, 1992,

TOTALNEWYORK —TOTALNEWJERSEY
NEWHAVEN PROVIDENCE

TOTAL BOSTON CAMOER

HARTFORD ‘coNcoRD
‘TOTALSANFRANCISCO SPRINGFIELD
syracuse eALTINORE
POCHESTER PORTLAND, ME
TOTAL PHILADELPHIA TOTAL DETROIT
ToTAL CHICAGO. ‘TOTAL WASHINGTON De
BUFFALO wUMINGTON

REGION 15(X SAN BERMADINO)

catoeees"
FORM,"COVINGTON & BURLING

P.O. BOX 7546
WASHINGTON, D.C. 244754
(Gem esa4000
LECONFIELD HOUSE _ [BRUSSELS CORRESPONDENT OFFICE
(CURZON STREET a ‘4 AVENUE DES ARTS
LONDON WIYEAS ENGLAND ‘TELEXIS7YCOVLING Wt) [BRUSSELS 1040 BELGIUM
‘TELEPHONE: 44714955655, ‘TELEPHONE: 322512289

Date: January 15, 1997

To: Mark Berlind

From: David H. Remes

Room: 803E

Z__pPages (including cover)

Message:

If there is a transmission problem, please call:

(202) 662-6280 Telecommunications
(202) 662-5942 Leslie L. Daniels - Secretary

4 serst ceerestere oNITang 2 WoLeNInoD wows

yorzecy90z"
FORM,"Contract Research
TELEFAX MESSAGE NO. QOS

THF Wana ir Watcha Ferechong Gran Fagaene 3 DSTO CmeHTS

“Tetephore (22.09 908-1
“els (2205 08 982

v1

DLE.FAX
DATE: 28, Apr: 98
FROM: Dr. Wolf Reininghaus
99-04-28 12:05 yp
To: Dr. Don Leyden,
Dept. Scientific Affairs
u
; Telefax-
ADDRESS: Philip Morris Europe er
reer seeeeremesa Original
CH-2003 Neuchatel A bl age
Faxno.: 0041-32-88 5776
NUMBER OF FOLLOWING PAGES: 21 ( Ae. bs ze)
Re.: TPM/Nicotine ratio
Ye

For your information!

“Tada Reger: Cologne HR 357

(ener anspr br Wl Renghase ame"
FORM,"op/2e/e¢ 08:25 BL LORILLARD 25 JAX +» SALES GENERAL NY @o01

Lr TOBACCO COMPANY

143 PHILLIPS HWY, SUITE 120, JACKSONVILLE, FL 32256 TELEPHONE (904) 464-0000 FAX 204) 464-0744

FACSIMILE COVER PAGE
PATE: 6228-64 INCLUDING COVER SHEET)

PLEASE DELIVER TRANSMISSION TO:

NAME: Mr. Al Giacoio
OFFICE:
FAX PHONE NUMBER:

THIS DOCUMENT IS FROM:

NAME: Fred Paternostro

FAX TELEPHONE NUMBER: (904) 464-0744

COMMENTS: The attached was obtained from Mackoul Dist.

CC: RE, KLEIN

IF ANY OF THESE PAGES ARE NOT LEGIBLE OR YOU DO NOT RECEIVE ALL OF

THIS TRANSMISSION, PLEASE CAI | (804) 464-0800 AS SOON AS POSSIBLE.

LObHTATS"
FORM,"s14/sovea 7:07 PTO 389 1422 LORILLARD C1 Goo2vo0a

pIvrsroN: _ Chicago South

LIST THE INFORMATION BELOW AS IT PERTAINS TO THE URBAN CENTER
EQRTION OF YOUR ASSIGNMENT ONLY:

POPULATION COMPOSITION:

% BLACK = 80%

% HISPANIC = BA
% WHITE = Toz
% OTHER = 3k

% TOTAL = 100%

# OF RETAIL CALLS: _247 ~ classified
SL staal
APPROXIMATE # OF RETAIL CALLS SECURED BY GLASS: _45% (136 calls)

RETAIL CALL FREQUENCY:
4 CALLS &
50/xR 0 ox -
25/¥R = 3%
12/XR Tez 33%
6/YR 76 25%
ANNUALS 37 132
TOTAL 303 100%

PRIMARY CLASS OF TRADE: _Convenience/ Grocery
SECONDARY CLASS OF TRADE: Liquor

PRIMARY DISTRIBUTION CHANNEL (E.G. JOBSER, SUB-JOBBBR, MEMBERSHIP
CLUB, CASH & CARRY, ETC...): _* Jobber / Menbership

* A number of stores are part of an Arab owned collective that gets a large
order delivered fron a jobber and then distributes the cigarettes to each

store.

2"
FORM,"GREY ADVERTISING INC.- MEETING REPORT

CLIENT: Brown & Williamson DATE: 1/19/82 NO. VB2-2 RI

PLACE: Telephone
DATE OF REPORT: 2/17/82

PRODUCT: Viceroy

PRESENT: (For the client)
T. Parrack

(For the agency)
P. Hendricks

‘SUMMARY:

Written by: P. Hendricks
CONFIDENTIAL

Client confirmed agreement for Agency to pay
with official signed estimate to follow, fo
1/25/82. This was agreed to by T. Parrack
January 18 pre-production meeting.

ly advance to photographer,
Viceroy shoot week of
and A. Forsythe at the

PH:mg

cc: R. Schoenfein
S. Danmers
P. Hendricks

O9FTAb029

670121460
PRODUCED FROM B&W WEB SITE"
FORM,";ONFIRMATION

RESPONSE CODE REQUEST

To: _doe Leinster

From: —Joyee Bagby
Date: _September 10, 1996

Brand: Eclipse PPS Program #: 802399 Requested By:
Tite: Sneak Preview Confirmation Cal-Charlotte Tests

Description: Record of confirmation calls for sneak preview appointments,

Fulfillment Data Entry at APAC
Circulation Quantity: ___300_
Estimated Response: 100.00 %

Estimated Responders: __300

Distribution Drop Date; 1003/06, Expiration Date: —___

Response Code Assigned: __W25.

‘Address, postal requirements, barcodes, document storage, and

batch numbers to be supplied by:
APAC
‘DE Fulfiiment Vendor
C; Suzi Hicks, RIRIR Debbie Lockery
Karen Giddens. ‘Vanessa Oakley
Drew Huyett Melissa Andrews - TBM
Jackson Roper ‘Tammi LaManna - M/B

e96z tszzs"
FORM,"'
4

4

12/08/97 09:01 FAX 1 782 383 8977 LORILLARD TOB CO +++ NYO - SALES ooz/003

FROM: $.P. McBride pecs [x reps [___]
1/20 JANIS

To: SP, ZOLOT.

AREA/REGION:

SUBJECT: A) PES row. x Rt 7

DIRECT ACCOUNTS PROJECTED TO ACCEPT WHICH REFUSED ONE OR MORE PACKING
PACKING(S) REFUSED.

NAME OF ACCOUNT

‘TOTAL # OF INDEPENDENT SPECIAL EMPHASIS OUTLETS:

‘TOTAL OF INDEPENDENT NEWPORT #1 CLUB OUTLETS:

| Toor
rrewnc | semnmguakcuruars | % |romenonecuupourisrs| %
vite onsrRseUTION SeetuisTaratTioN

a0 oa me

LT. BOX 80's 41S 19%

c's ri ee em 3%
ILT. 10's. ASL

IS.
a |

COMPETITIVE PROMOTIONAL ACTIVITY,

PREDOMINANT COUPON BUYDOWN VALUE OF TARGETED BRANDS (DORALIG. P. C/ BASIC)
DORAL Basic GPC.

PACKS Cao
(200)

CARTONS.
(ines Apt)

Mavenm=1.xis 1428/97 Page 1 of 2

9SO6FLIB"
FORM,"Date: September 21, 19/6

. Sample No.___6030

type of Cigarette,

85 mm Filter

Batch Size. 50 lbs.
original Request Made By___Dr. A. W. Spears on__September 21, 1976
Sample Specifications Written By___¥ Routh
Additional Spray

BLEND CASING RECASING FINAL FLAVOR RAO,
oGs oGs ocs oGs 3.4% PMO in EtoH

garettes Filters

Maker AMF Kind__20 mm True plastic rod

Length. 85 mm ——

Circumference 25.0 Process

Weight_To be det. (603 ma tobacco) Rod Length =

Pressure Drop_To be determined Pressure Drop.

Filter Length_20 mm Circumference

Paper 554 y Weight

Tipping Paper__30_im Plasticizer_—

Plog tieap,

Qreiss _ -Responsibi

Labels. ite Tobacco Blend Ammons

Closuri Blue Filter Production_Wicker

fear Tape White Making & Packing, Brown/Routh

Cartons. a Shipping Routh

Maxrkings__ Sample NO. on Sample Requisicion__""

—overwrap [Form 02:02:06]

Requirements Special Requirements

Laboratory. 3 rtons Spray 50 lbs. tobacco with solution of

Other, 20,000 cigts.
Laboratory Analysis
Smoke Analysis
PMO Analysis

Reports

Written by PR. D. Schickedantz
Original to Dr, Av W. Spear
Copies to_ pr Fa Jo

pr. i. J. M

880 g (= 1.94 lbs.) PMO in 1175 ml of

denatured alcohol. This should give
3.48 PMO add-on (3.3% PMO contained)
assuming 88% spraying efficiency. PMO

delivery from 85 mm cigarette smoked
to 30 mm butt should be 6.5 mg/cig.

°
S
3
oS
3
3
yn
a"
FORM,"(7=Basier)

PDC # _C273.82-7

TOP-LINES PROJECT # 1982-1020,
HOL PRODUCT TEST PAGE #Los 4
UBJECr: Kool Lights KS vs. Bright KS Product Monitor
SAMPLE: 408 (200 Menthol Lights/105 Menthol ultra,
Lights/92 Non-Menthol. Ultras)
Frei pare, __ Septenber 13, 1982
TAR
CIGARETTES: # 839 / _869_ KOOL Lights KS - white tip. 9.1 nt?
ping masked
#869 / 839 Bright KS white tipping- 5.5 5513.5 41
masked/a certain proportion of the menthol result is pep-
pemtint O{1; R&D is unable to deternine the percentage.
Tors ese eee esses 77 7 * 9"" aptal Menthol Suckers
Tol ‘le Foele 21-38 ae
PREFERENCE: (re) (205) (99) (196) (96) (109)
KOOL Lights Siett  _60ree 46 SerH+ _50
Bright Ey 34 43 35 42
No Preference: 8 6 n 8 8
100 100 100 300100
ADTRIBUTES otal vale Fenale 21-34 35+
KL bright, KL Bright KL Bright KL Bright KL Bright
STRENGTH 4.31""* 4.59 4.094 4.45 4.51 4.71 4.3544 47g 4.27 4.48
(7estronger)
SMOOTHNESS 3.60% 3.42 3.73"" _ 3.43 3.47. 3g) 2.61"" 3.38 Use aaa
(7=Smoother)
BMD, MENTHOL —3,6¢44* 4.94 3.584"" 4.85 _3.70""7* 5.02 2.63¢* 5.31 asst gen
(7=More)
MENTHOL TASTE —3.39%** 3.04 3.46*** 3.02 _3.33** _3.06 _3.45#** 2.99 Rae oR.
(7=Better) ~
SATISFYING B.22s* 2.78 3.284 2.78 2.97 2.78 3,178* 2.74 _3,08%* 2.82
(7=More) —
APTERTASTE —a.sgwe*_ 3.24 3.698"" 3.21 3.44 26 3.52tt* 3,07 3.60"" 3.39.
(7=Pleasant) ae OE —_—a—_eorr
SASEOF paw 4.00 3.96 4.02 3.95 3.99 3.96 4.07 _3.52 2.94 3.99

WOT"": Attribute scones reflect a_camparisan of the test product to the sncker's most often brand.

4/-/* Directional Difference: 66-79% Confidence Level
++/--/** Marginal Difference: 80-94X Confidence Level
+++/---/*** Significant Difference: 954% Confidence Level

620915734"
FORM,"New Competitive Activity

Please fill in the following information,
send to C. W. Toti, Marketing Services Director, at the

Thank you.

as appropriate and

New York Office.

Reported by:

Dat

Manufacturer & Brand:

Type of product, size(s) & list price:

Extent of distribution:

Information and hearsay from outside contacts:

Further information (please attach any relevant materials;

POS, advertising, brochures, etc.):

Pat"
FORM,"Sy THE
AMERICAN _ : PURCHASE REQUISITION
COMPANY FOE AW FORD, CT aE
ao paar Saas
January 3, 1995. Mr. G. Schumacher
--- WEBCRAFT TECHNOLOGIES, INC. .- -}--NO SHIPPING REQUIRE!

Attn: Mr. Steven Katz
|---Route-4-and-Adams-Station-.-...-

North Brunswick,

NJ 08901-0623

NO SHIPPING REQUIRED. |

[fier 30 Days

QUANTITY.

DESCRIPTION PRICE

_|34,000 tbs. of 80 Ib. Sterling C/2/S - 26-1/2"" roll

CARLTON ""Free Carton” Direct Mail Piece
This Purchase Order is to cover all costs incurred to-date
listed tetow: aes

42,000 Ibs: of 80 Ib-

tenting C/21S"": 36-1/2""rot-~ 20,680.00"" --

$3
$15,190.00

|
1
|

| Prep. (line negatives, paper prints, camera/stripping) __ $431.25 |

Federal Exnre!

hare:

ALL MATERIALS HAVE BEEN CANCELLED. __

Brand Operations | Adv. Expense | D. Barcia i
Krorroseouncto er svmuen roscourceo i
| mia7a9 j

January 3, 1995

ORM. Stocklomm 4) Hey, ah"
FORM,"ACUTE TOXICITY IN MICE

cowono Mapleine

souce Crescent tomusono B75. torn
eure nceneo 22/4/80 sgesttp 3/12/81-3/24/81 pepopyeo — 3/30/81
mesnontons,_Hs_S+ Tong & As A. Poole woreeooemuae BELI“1S

pounscs LL es DQ ele

sam oF wee SWiss-Webster mace romnue ate neceveo 3/5/82.

aver wecrmance (omy —_ 26-30 souee. Camm Research

worn sown (ote Bean 10 oS Festeoy
: | __ 100 5000 0/6
2 100 6000 0/6
2 100 7200 0/6
‘ 100 8640 o/6
5 200 10368 0/6

erro roncncarnon Weil, Carrol S., Biometrics, Vol. 8, No. 3., Sept. 1952,

Ip. 249.

ios0.9se cowroorce urs Dg = 10,368 mg/kg

conus Higher doses were impractical. The recommended safe dose for
lerdal inhalation in man is 80.6, 40.3, or 26.8 mg per cigarette

lwhen smoked 1,2 or 3 cigarettes per hour, respectively.

ee ee ee

L60SLILE

copies to the following: H. J. Minnemeyer
L. B. Gray

noute oF coupoune ouustRArio. avo ae ow 1D wacation
Jcomomovencte =) en onuuncee Oooo. one cXonea pure solution

TORR RESON COTER Tom

i
|"
